url,overall_status,manifest_discovery,caip2_compliance,json_resilience,bazaar_compliance,timestamp
https://bazaar.viridis.io,FAIL,ERROR,FAIL,ERROR,PASS,2026-07-25T04:05:26.325176+00:00
https://counterra.xyz,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.303728+00:00
https://stabletravel.dev,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.309023+00:00
https://x402.asterpay.io,FAIL,PASS,FAIL,PASS,PASS,2026-07-25T04:05:26.330533+00:00
https://call.kelam.sh,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.341257+00:00
https://pro-api.coinmarketcap.com,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.363715+00:00
https://api.smartflowproai.com,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.294548+00:00
https://intel.hugen.tokyo,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.335836+00:00
https://defi.hugen.tokyo,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.319863+00:00
https://www.x402scan.com,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.346694+00:00
https://www.kaspa-402.org,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:27.666999+00:00
https://data.greeneris.io,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:27.446688+00:00
https://mcp.hugen.tokyo,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:27.137364+00:00
https://api.hyperextend.xyz,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:26.314660+00:00
https://toolrail.dev,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:27.931784+00:00
https://www.cloudworldmodel.ai,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.071376+00:00
https://ozmium.org,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.085657+00:00
https://api.x-402.online,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:27.870233+00:00
https://whale.hugen.tokyo,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.039135+00:00
https://api.web3identity.com,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.948164+00:00
https://agent.weatherxm.com,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.330010+00:00
https://observer.137-184-67-179.sslip.io,FAIL,PASS,FAIL,PASS,PASS,2026-07-25T04:05:28.988638+00:00
https://mcp.viridisconservation.com,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.952977+00:00
https://agents.oromi.co.uk,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.765642+00:00
https://agentic.market,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.824867+00:00
https://verify.smartflowproai.com,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:28.805743+00:00
https://apinow.fun,FAIL,FAIL,FAIL,PASS,PASS,2026-07-25T04:05:29.428849+00:00
